DATAFLOW,AGEINGP: Age,SEXP: Sex,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G04_RA(1.0.0),6: 6,1: Males,10: Major Cities of Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,38661
ABS:C21_G04_RA(1.0.0),19: 19,1: Males,10: Major Cities of Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,35209
ABS:C21_G04_RA(1.0.0),32: 32,2: Females,10: Major Cities of Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,48667
ABS:C21_G04_RA(1.0.0),57: 57,2: Females,10: Major Cities of Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,36631
ABS:C21_G04_RA(1.0.0),18: 18,2: Females,11: Inner Regional Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,8448
ABS:C21_G04_RA(1.0.0),30: 30,2: Females,11: Inner Regional Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,9106
ABS:C21_G04_RA(1.0.0),75: 75,3: Persons,11: Inner Regional Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,16040
ABS:C21_G04_RA(1.0.0),4: 4,2: Females,12: Outer Regional Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,2087
ABS:C21_G04_RA(1.0.0),36: 36,3: Persons,12: Outer Regional Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,4069
ABS:C21_G04_RA(1.0.0),49: 49,3: Persons,12: Outer Regional Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,4818
ABS:C21_G04_RA(1.0.0),61: 61,3: Persons,12: Outer Regional Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,6057
ABS:C21_G04_RA(1.0.0),74: 74,3: Persons,12: Outer Regional Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,4798
ABS:C21_G04_RA(1.0.0),10_14: 10-14 years,3: Persons,13: Remote Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,1679
ABS:C21_G04_RA(1.0.0),35_39: 35-39 years,3: Persons,13: Remote Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,1508
ABS:C21_G04_RA(1.0.0),47: 47,3: Persons,13: Remote Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,321
ABS:C21_G04_RA(1.0.0),8: 8,3: Persons,14: Very Remote Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,103
ABS:C21_G04_RA(1.0.0),20: 20,3: Persons,14: Very Remote Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,87
ABS:C21_G04_RA(1.0.0),21: 21,1: Males,14: Very Remote Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,31
ABS:C21_G04_RA(1.0.0),59: 59,1: Males,14: Very Remote Australia (NSW),RA: Remoteness Area,1: New South Wales,2021,56
ABS:C21_G04_RA(1.0.0),20_24: 20-24 years,1: Males,15: Migratory - Offshore - Shipping (NSW),RA: Remoteness Area,1: New South Wales,2021,0
ABS:C21_G04_RA(1.0.0),32: 32,1: Males,15: Migratory - Offshore - Shipping (NSW),RA: Remoteness Area,1: New South Wales,2021,0
ABS:C21_G04_RA(1.0.0),57: 57,1: Males,15: Migratory - Offshore - Shipping (NSW),RA: Remoteness Area,1: New South Wales,2021,0
ABS:C21_G04_RA(1.0.0),58: 58,2: Females,15: Migratory - Offshore - Shipping (NSW),RA: Remoteness Area,1: New South Wales,2021,0
ABS:C21_G04_RA(1.0.0),70: 70,2: Females,15: Migratory - Offshore - Shipping (NSW),RA: Remoteness Area,1: New South Wales,2021,0
ABS:C21_G04_RA(1.0.0),GE100: 100 years and over,2: Females,15: Migratory - Offshore - Shipping (NSW),RA: Remoteness Area,1: New South Wales,2021,0
ABS:C21_G04_RA(1.0.0),30: 30,1: Males,19: No usual address (NSW),RA: Remoteness Area,1: New South Wales,2021,117
ABS:C21_G04_RA(1.0.0),31: 31,2: Females,19: No usual address (NSW),RA: Remoteness Area,1: New South Wales,2021,99
ABS:C21_G04_RA(1.0.0),44: 44,2: Females,19: No usual address (NSW),RA: Remoteness Area,1: New South Wales,2021,62
ABS:C21_G04_RA(1.0.0),56: 56,2: Females,19: No usual address (NSW),RA: Remoteness Area,1: New South Wales,2021,65
ABS:C21_G04_RA(1.0.0),69: 69,2: Females,19: No usual address (NSW),RA: Remoteness Area,1: New South Wales,2021,36
ABS:C21_G04_RA(1.0.0),0_4: 0-4 years,3: Persons,20: Major Cities of Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,297219
ABS:C21_G04_RA(1.0.0),12: 12,3: Persons,20: Major Cities of Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,59117
ABS:C21_G04_RA(1.0.0),13: 13,1: Males,20: Major Cities of Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,30438
ABS:C21_G04_RA(1.0.0),25: 25,1: Males,20: Major Cities of Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,39394
ABS:C21_G04_RA(1.0.0),50: 50,1: Males,20: Major Cities of Australia (Vic.),RA: Remoteness Area,2: Victoria,2021,32753
